simulation_s,vx,vy,wz
98.492,0.17811544503670804,-0.025978611190274156,0.0
98.49600000000001,0.17811544503670804,-0.025978611190274156,0.0
98.5,0.17811544503670804,-0.025978611190274156,0.0
98.504,0.17811544503670804,-0.025978611190274156,0.0
98.506,0.1781154450368619,-0.025978611189219045,0.0
98.506,0.1781154450368619,-0.025978611189219045,0.0
98.51,0.1781154450368619,-0.025978611189219045,0.0
98.52000000000001,0.1781154450368619,-0.025978611189219045,0.0
98.53,0.1781154450368619,-0.025978611189219045,0.0
98.542,0.17811544503701673,-0.025978611188157676,0.0
98.55000000000001,0.178115445037174,-0.025978611187079455,0.0
98.56200000000001,0.178115445037174,-0.025978611187079455,0.0
98.57400000000001,0.1781154450373322,-0.025978611185994864,0.0
98.58200000000001,0.1781154450373322,-0.025978611185994864,0.0
98.59400000000001,0.1781154450374921,-0.02597861118489833,0.0
98.604,0.17811544503765367,-0.02597861118379062,0.0
98.604,0.17811544503765367,-0.02597861118379062,0.0
98.604,0.17811544503765367,-0.02597861118379062,0.0
98.60600000000001,0.17811544503765367,-0.02597861118379062,0.0
98.61200000000001,0.17811544503765367,-0.02597861118379062,0.0
98.626,0.1781154450378162,-0.025978611182676335,0.0
98.64,0.1781154450378162,-0.025978611182676335,0.0
98.64800000000001,0.17811544503798044,-0.025978611181550308,0.0
98.66000000000001,0.17811544503798044,-0.025978611181550308,0.0
98.674,0.17811544503814655,-0.02597861118041128,0.0
98.682,0.17811544503814655,-0.02597861118041128,0.0
98.694,0.17811544503814655,-0.02597861118041128,0.0
98.70400000000001,0.178115445038315,-0.025978611179256518,0.0
98.70400000000001,0.178115445038315,-0.025978611179256518,0.0
98.70400000000001,0.178115445038315,-0.025978611179256518,0.0
98.71000000000001,0.17811544503848578,-0.02597861117808562,0.0
98.72000000000001,0.17811544503848578,-0.02597861117808562,0.0
98.73400000000001,0.17811544503865817,-0.025978611176903425,0.0
98.744,0.17811544503865817,-0.025978611176903425,0.0
98.754,0.17811544503883214,-0.02597861117571082,0.0
98.768,0.17811544503900797,-0.025978611174505194,0.0
98.778,0.17811544503900797,-0.025978611174505194,0.0
98.786,0.17811544503900797,-0.025978611174505194,0.0
98.80000000000001,0.17811544503900797,-0.025978611174505194,0.0
98.802,0.17811544503918522,-0.025978611173290075,0.0
98.802,0.17811544503918522,-0.025978611173290075,0.0
98.80600000000001,0.1781154450393656,-0.025978611172053093,0.0
98.816,0.1781154450393656,-0.025978611172053093,0.0
98.83000000000001,0.1781154450393656,-0.025978611172053093,0.0
98.84,0.1781154450395473,-0.025978611170807596,0.0
98.84800000000001,0.17811544503973187,-0.025978611169541994,0.0
98.86200000000001,0.17811544503973187,-0.025978611169541994,0.0
98.87400000000001,0.17811544503991739,-0.02597861116827019,0.0
98.884,0.17811544503991739,-0.02597861116827019,0.0
98.896,0.17811544504010593,-0.025978611166977448,0.0
98.902,0.17811544504029675,-0.02597861116566889,0.0
98.902,0.17811544504029675,-0.02597861116566889,0.0
98.902,0.17811544504029675,-0.02597861116566889,0.0
98.91000000000001,0.17811544504029675,-0.02597861116566889,0.0
98.92200000000001,0.17811544504029675,-0.02597861116566889,0.0
98.938,0.1781154450404886,-0.025978611164353835,0.0
98.944,0.1781154450404886,-0.025978611164353835,0.0
98.956,0.17811544504068438,-0.02597861116301142,0.0
98.968,0.17811544504068438,-0.02597861116301142,0.0
98.976,0.17811544504088242,-0.02597861116165379,0.0
98.988,0.1781154450410829,-0.025978611160278955,0.0
99.00200000000001,0.1781154450410829,-0.025978611160278955,0.0
99.012,0.17811544504128501,-0.025978611158893525,0.0
99.022,0.17811544504128501,-0.025978611158893525,0.0
99.034,0.17811544504149016,-0.025978611157486654,0.0
99.034,0.17811544504149016,-0.025978611157486654,0.0
99.042,0.17811544504149016,-0.025978611157486654,0.0
99.05000000000001,0.17811544504169863,-0.02597861115605742,0.0
99.06200000000001,0.17811544504169863,-0.02597861115605742,0.0
99.072,0.17811544504190932,-0.025978611154612877,0.0
99.078,0.17811544504190932,-0.025978611154612877,0.0
99.09,0.17811544504190932,-0.025978611154612877,0.0
99.104,0.17811544504212284,-0.0259786111531489,0.0
99.11,0.17811544504212284,-0.0259786111531489,0.0
99.12,0.1781154450423404,-0.025978611151657387,0.0
99.134,0.17811544504256183,-0.025978611150138966,0.0
99.13600000000001,0.17811544504256183,-0.025978611150138966,0.0
99.144,0.17811544504256183,-0.025978611150138966,0.0
99.156,0.17811544504256183,-0.025978611150138966,0.0
99.168,0.178115445042785,-0.02597861114860908,0.0
99.176,0.17811544504301197,-0.025978611147053084,0.0
99.188,0.17811544504301197,-0.025978611147053084,0.0
99.20200000000001,0.17811544504324345,-0.02597861114546582,0.0
99.212,0.17811544504324345,-0.02597861114546582,0.0
99.22200000000001,0.1781154450434771,-0.0259786111438639,0.0
99.232,0.17811544504371457,-0.025978611142235698,0.0
99.232,0.17811544504371457,-0.025978611142235698,0.0
99.24000000000001,0.17811544504371457,-0.025978611142235698,0.0
99.25,0.17811544504371457,-0.025978611142235698,0.0
